city,pop,lat,lon,tz
台北 - TW,7871900,25.0478,121.532,Asia/Taipei
新北 - TW,543342,25.0143,121.467,Asia/Taipei
基隆 - TW,397515,25.1309,121.741,Asia/Taipei
桃園 - TW,402014,24.9937,121.297,Asia/Taipei
新竹 - TW,404109,24.8036,120.969,Asia/Taipei
苗栗 - TW,533219,24.5141,120.317,Asia/Taipei
台中 - TW,1040725,24.1469,120.684,Asia/Taipei
彰化 - TW,124725,23.9567,120.576,Asia/Taipei
雲林 - TW,104723,23.7094,120.543,Asia/Taipei
嘉義 - TW,262553,23.5769,120.317,Asia/Taipei
台南 - TW,771235,22.9908,120.213,Asia/Taipei
高雄 - TW,1519711,22.6163,120.313,Asia/Taipei
屏東 - TW,31288,22.0042,120.744,Asia/Taipei
南投 - TW,105682,23.9157,120.664,Asia/Taipei
宜蘭 - TW,94188,24.757,121.753,Asia/Taipei
花蓮 - TW,350468,23.9769,121.604,Asia/Taipei
台東 - TW,211681,22.7217,120.51,Asia/Taipei
澎湖 - TW,56435,23.5654,119.586,Asia/Taipei
金門 - TW,37507,24.4341,118.317,Asia/Taipei
馬祖 - TW,8000,26.1457,119.913,Asia/Taipei
香港 - HK,7491609,22.2783,114.174,Asia/Hong_Kong
澳門 - MO,649335,22.2005,113.546,Asia/Macau
北京 - CN,18960744,39.9075,116.397,Asia/Shanghai
上海 - CN,22315474,31.2222,121.458,Asia/Shanghai
廣州 - CN,16096724,23.1166,113.25,Asia/Shanghai
深圳 - CN,17494398,22.5455,114.068,Asia/Shanghai
Aalborg - DK,142937,57.048,9.9187,Europe/Copenhagen
Aarau - CH,21503,47.3925,8.04422,Europe/Zurich
Aba - NG,1160000,5.10658,7.36667,Africa/Lagos
Abakaliki - NG,134102,6.32485,8.11368,Africa/Lagos
Abakan - RU,184168,53.7154,91.4259,Asia/Krasnoyarsk
Abancay - PE,72277,-13.6343,-72.8838,America/Lima
Abeche - TD,139983,13.8292,20.8324,Africa/Ndjamena
Abengourou - CI,130810,6.72972,-3.49639,Africa/Abidjan
Abeokuta - NG,735000,7.15571,3.34509,Africa/Lagos
Abha - SA,210886,18.2164,42.5053,Asia/Riyadh
Abidjan - CI,6321017,5.35444,-4.00167,Africa/Abidjan
Abobo - CI,1340083,5.41613,-4.0159,Africa/Abidjan
Abomey - BJ,117824,7.18286,1.99119,Africa/Porto-Novo
Abu Dhabi - AE,1807000,24.4512,54.397,Asia/Dubai
Abu Ghurayb - IQ,900000,33.3056,44.1848,Asia/Baghdad
Abuja - NG,2690000,9.05785,7.49508,Africa/Lagos
Accra - GH,1963264,5.55602,-0.1969,Africa/Accra
Ad Dali` - YE,14760,13.6957,44.7314,Asia/Aden
Ad Diwaniyah - IQ,318801,31.9929,44.9255,Asia/Baghdad
Ad-Damazin - SD,186051,11.7891,34.3592,Africa/Khartoum
Adamstown - PN,46,-25.066,-130.101,Pacific/Pitcairn
Adana - TR,1816750,36.9862,35.3253,Europe/Istanbul
Adapazari - TR,286787,40.7806,30.4033,Europe/Istanbul
Addis Ababa - ET,3860000,9.02497,38.7469,Africa/Addis_Ababa
Adelaide - AU,1469163,-34.9287,138.599,Australia/Adelaide
Aden - YE,1079670,12.7796,45.0385,Asia/Aden
Adiyaman - TR,267131,37.7644,38.2763,Europe/Istanbul
Ado-Ekiti - NG,435000,7.62329,5.22087,Africa/Lagos
Adrar - DZ,68276,27.8743,-0.29388,Africa/Algiers
Afyonkarahisar - TR,251799,38.7567,30.5433,Europe/Istanbul
Agadez - NE,149549,16.9733,7.99111,Africa/Niamey
Agadir - MA,698310,30.4202,-9.59815,Africa/Casablanca
Agartala - IN,400004,23.8361,91.2794,Asia/Kolkata
Agdam - AZ,39451,39.991,46.9274,Asia/Baku
Agdas - AZ,23528,40.647,47.4738,Asia/Baku
Agdzhabedy - AZ,43000,40.0502,47.4594,Asia/Baku
Aghstafa - AZ,12542,41.1189,45.4539,Asia/Baku
Aghsu - AZ,17209,40.5703,48.4009,Asia/Baku
Agra - IN,1430055,27.1833,78.0167,Asia/Kolkata
Agri - TR,120390,39.7147,43.0401,Europe/Istanbul
Aguadilla - PR,16073,18.4275,-67.1541,America/Puerto_Rico
